#{"t_start": 1679415267.1031415, "env_id": null}
r,l,t,ruined grasses
1,20,147.609962,7
1,20,147.674021,8
1,24,147.751091,16
1,19,147.812146,12
1,21,147.879208,7
1,19,147.940263,8
1,18,147.997314,6
1,19,148.05837,10
1,19,148.119425,5
1,18,148.176477,6
1,18,148.23453,7
1,18,148.292583,9
1,21,148.361646,16
1,19,148.4217,8
1,18,148.479753,14
1,18,148.536805,11
1,18,148.594857,13
1,27,148.680936,16
1,18,148.738989,14
1,22,148.809052,11
1,18,148.867105,17
1,21,148.968196,4
1,30,149.074293,16
1,18,149.136349,15
1,18,149.198406,9
1,20,149.263465,17
1,22,149.33453,11
1,22,149.405594,7
1,29,149.49968,13
1,22,149.570745,11
1,21,149.639807,9
1,20,149.704867,8
1,19,149.766922,10
1,18,149.824976,15
1,22,149.897041,9
1,18,149.956095,5
1,21,150.024156,15
1,19,150.092218,12
1,20,150.157277,13
1,26,150.241354,8
1,27,150.329434,6
1,23,150.404502,16
1,18,150.462555,15
1,21,150.531618,17
1,20,150.596677,8
1,18,150.691764,9
1,18,150.75482,7
1,20,150.821881,14
1,21,150.891945,15
1,25,150.972018,13
1,20,151.037077,8
1,25,151.118151,11
1,28,151.211235,17
1,20,151.276294,15
1,21,151.344356,16
1,21,151.412418,14
1,20,151.477477,13
1,20,151.541536,7
1,18,151.599588,7
1,18,151.657641,13
1,18,151.716695,8
1,22,151.787759,13
1,19,153.492308,8
1,21,153.559369,15
1,20,153.625429,6
1,23,153.697495,15
1,20,153.75855,7
1,20,153.820606,3
1,21,153.885668,14
1,19,153.979754,10
1,22,154.050818,15
1,27,154.1409,17
1,19,154.201956,3
1,27,154.291036,17
1,22,154.3611,6
1,30,154.455185,8
1,23,154.52625,13
1,19,154.585303,10
1,18,154.642355,7
1,18,154.699407,16
1,23,154.773474,17
1,19,154.835531,8
1,18,154.893584,12
1,22,154.965649,11
1,25,155.045722,5
1,18,155.102774,13
1,18,155.159826,6
1,18,155.216877,13
1,18,155.272929,6
1,19,155.332983,10
1,18,155.390035,5
1,24,155.465103,5
1,18,155.522155,11
1,18,155.615239,14
1,23,155.696313,17
1,21,155.770381,10
1,22,155.840444,17
1,24,155.915513,17
1,18,155.973566,15
1,20,156.038624,14
1,29,156.130708,18
1,21,156.196768,19
1,18,156.254821,3
1,19,156.314875,16
1,29,156.406959,8
1,18,156.464011,8
1,23,156.537077,16
1,23,156.610144,17
1,18,156.667196,13
1,23,156.740262,16
1,20,156.80432,17
1,20,156.867377,15
1,18,156.925431,15
1,28,157.014511,17
1,23,157.088578,8
1,20,157.152637,17
1,18,157.247723,11
1,26,157.334803,17
1,21,157.405868,18
1,23,157.479949,18
1,20,157.544007,5
