#{"t_start": 1679480980.870534, "env_id": "FrozenLake-v1"}
r,l,t
0.0,9,23.843961
0.0,4,23.850967
0.0,3,23.855972
0.0,4,23.862978
0.0,5,23.870986
0.0,3,23.876992
0.0,5,23.884998
0.0,8,23.89801
0.0,5,23.907019
0.0,3,23.912023
0.0,6,23.922032
0.0,3,23.927037
0.0,8,23.941049
0.0,11,23.959066
0.0,5,23.968074
0.0,11,23.98609
0.0,9,24.001104
0.0,6,24.012114
0.0,5,24.020121
0.0,4,24.027128
0.0,11,24.045144
0.0,7,24.057156
0.0,5,24.066163
0.0,11,24.08518
0.0,7,24.097192
0.0,2,24.100194
0.0,9,24.115208
0.0,2,24.119211
0.0,3,24.124216
0.0,14,24.148238
0.0,3,24.153242
0.0,10,24.170258
0.0,11,24.189275
0.0,3,24.19428
0.0,3,24.199285
0.0,3,24.205289
0.0,35,24.265345
0.0,17,24.294371
0.0,2,24.298375
0.0,2,24.301378
0.0,3,24.306382
0.0,6,24.316391
0.0,7,24.328402
0.0,2,24.332406
0.0,12,24.352424
0.0,4,24.359431
0.0,2,24.362433
0.0,2,24.366437
0.0,2,24.36944
0.0,9,24.385454
0.0,5,24.393461
0.0,22,24.431496
0.0,11,24.450513
0.0,5,24.492551
0.0,9,24.509567
0.0,8,24.523579
0.0,2,24.526582
0.0,4,24.533588
0.0,9,24.549107
0.0,2,24.553111
0.0,6,24.56312
0.0,2,24.567124
0.0,8,24.580136
0.0,5,24.589144
0.0,11,24.608161
0.0,2,24.612164
0.0,10,24.62918
0.0,6,24.639189
0.0,3,24.645195
0.0,7,24.657206
0.0,5,24.665214
0.0,2,24.669217
0.0,16,24.696242
0.0,3,24.701246
0.0,3,24.707252
0.0,5,24.715259
0.0,20,24.74929
0.0,9,24.765305
0.0,2,24.769308
0.0,4,24.776314
0.0,11,24.795332
0.0,7,24.807343
0.0,2,24.811346
0.0,15,24.83737
0.0,18,24.868398
0.0,11,24.887415
0.0,8,24.901428
