#{"t_start": 1679418268.8367305, "env_id": null}
r,l,t,ruined grasses
1,21,142.21986,3
1,23,142.29693,7
1,23,142.372999,13
1,21,142.442062,9
1,24,142.521134,10
1,20,142.586193,5
1,21,142.692288,6
1,27,142.792379,13
1,19,142.857439,4
1,21,142.926502,10
1,23,143.003572,9
1,23,143.079641,4
1,21,143.149705,10
1,20,143.213763,7
1,21,143.282826,9
1,25,143.3649,11
1,27,143.45298,7
1,22,143.526047,6
1,20,143.591106,6
1,20,143.657166,8
1,20,145.366295,13
1,18,145.422346,11
1,20,145.484403,10
1,19,145.544459,10
1,23,145.616523,8
1,21,145.683583,10
1,18,145.739635,7
1,21,145.805694,10
1,22,145.873756,5
1,19,145.967841,8
1,19,146.029897,6
1,18,146.087951,6
1,22,146.161017,4
1,18,146.217068,8
1,19,146.276122,4
1,22,146.343183,13
1,18,146.400235,4
1,18,146.455285,8
1,20,146.517341,3
1,18,146.572392,5
1,21,146.638451,7
1,18,146.695503,7
1,21,146.760562,8
1,18,146.816615,8
1,19,146.874668,7
1,18,146.930719,6
1,24,147.007789,4
1,24,147.083858,9
1,20,147.147917,8
1,22,147.218981,5
1,18,147.276033,9
1,23,147.351102,12
1,20,147.41616,5
1,18,147.474213,4
1,18,147.564295,5
1,24,147.651374,8
1,20,147.719436,7
1,23,147.793504,10
1,18,147.851556,7
1,21,147.920619,9
1,20,147.984677,9
1,21,148.052739,9
1,23,148.126806,9
1,22,148.197871,5
1,20,148.263931,7
1,21,148.331993,4
1,20,148.397052,5
1,22,148.467116,5
1,20,148.531174,13
1,19,148.59323,6
1,18,148.652284,10
1,20,148.716342,3
1,18,148.775396,4
1,23,148.849463,10
1,20,148.913521,8
1,18,148.971574,3
1,18,149.029627,4
1,20,149.095686,10
1,18,149.154741,6
1,18,149.246823,3
1,18,149.30888,6
1,18,149.372939,7
1,19,149.437998,9
1,18,149.497051,9
1,18,149.556105,12
1,20,149.621164,8
1,21,149.690227,8
1,18,149.749281,9
1,18,149.808335,4
1,20,149.877397,7
1,19,149.940471,6
1,21,150.010535,12
1,20,150.075594,7
1,18,150.134647,4
1,20,150.200707,11
1,18,150.25876,4
1,18,150.317814,15
1,24,150.397887,16
1,19,150.459945,5
1,23,150.535013,5
1,19,150.598071,3
1,21,150.666133,8
1,20,150.732193,6
1,21,150.800255,9
1,19,150.864313,11
1,19,150.965404,1
1,20,151.040472,4
1,19,151.108535,7
1,18,151.167588,5
1,20,151.233648,2
1,21,151.30171,8
1,22,151.373775,4
1,20,151.440836,4
1,20,151.504895,9
1,20,151.568953,3
1,20,151.636018,6
1,18,151.695072,13
1,22,151.766136,5
1,18,151.824189,5
1,20,151.889251,5
1,18,151.949306,11
1,20,152.013364,5
1,18,152.072417,8
1,22,153.772996,9
1,25,153.850066,9
1,18,153.906117,8
1,21,153.972177,5
1,19,154.03123,5
1,19,154.090284,4
1,23,154.16335,4
1,21,154.265443,9
1,18,154.323496,11
1,18,154.381548,6
1,21,154.447609,9
1,18,154.502659,4
1,19,154.559711,2
1,19,154.618764,9
1,18,154.673814,8
1,20,154.735871,8
1,19,154.794924,8
1,23,154.865989,7
1,18,154.921041,8
1,18,154.977093,4
1,18,155.034145,6
1,18,155.090196,7
1,18,155.15025,7
1,19,155.209304,6
1,18,155.266356,2
1,19,155.32641,6
1,18,155.382463,5
1,19,155.443519,5
1,19,155.503573,7
1,20,155.567631,9
1,20,155.629688,6
1,18,155.688742,11
1,18,155.748302,8
1,23,155.8564,8
1,20,155.931467,8
1,18,155.992523,6
1,18,156.052578,5
1,20,156.115635,9
1,18,156.172687,3
1,18,156.23074,6
1,21,156.2968,8
1,20,156.359857,6
1,20,156.424916,4
1,22,156.49498,9
1,19,156.555034,7
1,18,156.613087,8
1,19,156.674143,5
1,27,156.762223,7
1,18,156.819275,6
1,20,156.884334,9
1,26,156.967409,5
1,20,157.031468,9
1,20,157.095526,8
1,18,157.152578,5
1,18,157.210632,6
1,18,157.269684,7
1,20,157.334743,6
1,18,157.392797,5
1,19,157.492886,7
1,18,157.553942,7
1,18,157.620002,8
1,18,157.681058,5
1,18,157.741113,8
1,18,157.800166,6
1,22,157.872232,8
1,18,157.932289,4
1,19,157.994346,6
1,19,158.055401,5
1,20,158.12046,7
1,22,158.191525,9
1,20,158.257585,3
1,19,158.317639,3
1,22,158.389705,6
1,21,158.457767,10
1,20,158.521825,7
1,18,158.580878,10
1,19,158.642935,6
1,20,158.706995,9
1,21,158.775057,5
1,20,158.841117,4
1,18,158.900171,7
1,20,158.96523,7
1,20,159.030289,6
1,19,159.092346,3
1,21,159.19644,2
1,19,159.260498,5
1,21,159.331563,3
1,22,159.404629,5
1,18,159.463683,4
1,18,159.520735,7
1,19,159.582791,10
1,18,159.641845,5
1,22,159.71291,13
1,20,159.775967,7
1,18,159.837022,4
1,19,159.899079,8
1,21,159.96714,5
1,19,160.030198,5
1,18,160.08725,4
1,19,160.148305,7
1,21,160.217368,11
1,18,160.275421,9
1,19,160.336476,7
1,20,160.402536,4
1,18,160.462095,7
1,18,162.142623,6
1,20,162.204679,7
1,18,162.259729,3
1,20,162.321786,5
1,18,162.37784,7
1,19,162.472922,10
1,18,162.538983,10
1,21,162.612049,7
1,23,162.684115,4
1,19,162.743168,7
1,18,162.798219,10
1,18,162.856272,4
1,21,162.923332,4
1,18,162.983182,6
1,18,163.040234,4
1,19,163.099288,6
1,18,163.154337,7
1,19,163.213391,4
1,18,163.269442,6
